Id,name,sex,urban/rural,income,GPA,parents qualification,average attendance,dropout
978,Karissa,Female,rural,892044,2.8,Graduate,15,false
979,Glen,Male,urban,406425,8.4,illiterate,95,true
980,Ara,Male,urban,869806,3.4,Graduate,23,true
981,Rodge,Male,urban,463918,3.3,Graduate,69,false
982,Marius,Male,rural,656512,7.0,High school,83,false
983,Roxanna,Female,rural,46608,0.4,Graduate,12,false
984,Jocelyne,Female,urban,598685,1.4,High school,95,false
985,Reba,Female,rural,744230,2.0,illiterate,57,false
986,Basia,Non-binary,rural,763267,3.7,illiterate,63,true
987,Buddy,Male,rural,500112,4.0,Graduate,100,true
988,Cordy,Agender,rural,297495,3.7,High school,72,true
989,Dru,Female,urban,133049,7.3,illiterate,1,false
990,Klara,Female,urban,268896,2.1,High school,43,false
991,Berrie,Female,urban,186803,0.4,High school,11,true
992,Verla,Female,rural,281294,1.0,High school,13,true
993,Renaldo,Male,rural,515455,8.7,High school,27,false
994,Milty,Male,urban,234815,3.8,illiterate,83,true
995,Forrester,Male,urban,288069,6.3,Graduate,26,false
996,Paulie,Polygender,urban,921977,8.7,Graduate,16,false
997,Yancey,Male,rural,734661,2.5,High school,70,false
998,Marylee,Female,rural,240330,9.9,High school,96,true
999,Renell,Female,rural,512529,6.0,illiterate,94,false
1000,Glenn,Male,urban,731817,7.3,illiterate,65,true
